BJD,flux,flux_err,texp
2459771.3824620666,16298019.0,568.9752850519959,0.00042515783570706844
2459771.382972256,16305870.0,569.1580953478567,0.00042515784298302606
2459771.3834824455,16318590.0,569.3590694807627,0.0004251578575349413
2459771.3839926347,16330970.0,569.5902858634441,0.00042515782843111083
2459771.3845028244,16340683.0,569.7376040775262,0.00042515782843111083
2459771.3850130136,16352698.0,569.9833330896615,0.00042515784298302606
2459771.3855232033,16370887.0,570.3022773056408,0.00042515782843111083
2459771.3860333925,16374230.0,570.436209185567,0.00042515785025898367
2459771.3865435817,16390651.0,570.7061415474692,0.00042515784298302606
2459771.3870537714,16395170.0,570.9417658570793,0.00042515783570706844
2459771.3875639606,16410313.0,571.1506751724977,0.00042515784298302606
2459771.3880741503,16413994.0,571.3040182337246,0.00042515785025898367
