BJD,flux,flux_err
2459728.9582389933,0.9993894305155172,6.028758051861346e-05
2459728.9591594404,0.9992118440290824,6.028803404653407e-05
2459728.9600798874,0.9993853838013367,6.0288487581305005e-05
2459728.9610003345,0.9993826396069896,6.0288941122926555e-05
2459728.9619207815,0.9992886696863889,6.028939467139829e-05
2459728.9628412286,0.9994921746739365,6.0289848226721065e-05
2459728.9637616756,0.9994866419928451,6.029030178889466e-05
2459729.0023652255,0.9999695011279819,6.0290755357919605e-05
2459729.0065624644,1.0000561028852488,6.029120893379528e-05
2459729.0074829115,0.9999735053915896,6.02916625165224e-05
2459729.0084033585,1.0000632776812055,6.029211610610137e-05
2459729.0093238056,1.0000234738151823,6.0292569702532116e-05
2459729.0102442526,1.0000112300998427,6.0293023305814256e-05
2459729.0111646997,0.999979495301186,6.029347691594869e-05
2459729.0120851467,0.9998972390238962,6.0293930532935184e-05
2459729.013005594,0.9999923532877308,6.029438415677408e-05
2459728.989110788,0.9997554454744892,6.029483778746505e-05
2459728.9652159824,0.999260966604796,6.029529142500883e-05
2459728.9661364295,0.999460864528456,6.0297717251216986e-05
2459728.9670568765,0.999517315695458,6.031197445157611e-05
2459728.9679773236,0.9994108551434195,6.031242834802709e-05
2459728.9688977706,0.9994172278697583,6.031288225133661e-05
2459728.9698182177,0.9995010310262361,6.031333616150485e-05
2459728.9707386647,0.9993980392247019,6.031379007853211e-05
2459728.971659112,0.9993504777169256,6.031424400241871e-05
2459728.972579559,0.9992290817386634,6.0314697933164704e-05
2459728.973500006,0.9993493860093079,6.03005165489639e-05
2459728.974420453,0.9993945198723115,6.029648934458825e-05
2459728.9753409,0.9993759825352393,6.029694300708143e-05
2459728.976261347,0.9993446483053715,6.029739667642765e-05
2459728.977181794,0.9993187131519831,6.029785035262749e-05
2459728.978102241,0.9995064987867716,6.0298304035681e-05
2459728.979022688,0.9994375433690023,6.0298757725588265e-05
2459728.9799431353,0.9993978970726277,6.0299211422349564e-05
2459728.9808635823,0.9995119976887922,6.029966512596485e-05
2459728.9817840294,0.9994140560646815,6.0300118836434395e-05
2459728.9827044765,0.9995430542810186,6.03005725537584e-05
2459728.9836249235,0.9995332514155858,6.0301026277937126e-05
2459728.9845453706,0.9994389926481477,6.030148000897064e-05
2459728.9854658176,0.9997811581473779,6.030193374685857e-05
2459728.9863862647,0.9999412942482873,6.0302387491602044e-05
2459728.9873067117,0.999933899309839,6.030284124320054e-05
2459728.988227159,1.0000441996273113,6.0303295001654346e-05
2459728.989147606,0.9998955940011319,6.0303748766963615e-05
2459728.990068053,1.000035799881346,6.030420253912886e-05
2459728.9909885,1.0000418295512439,6.03046563181497e-05
2459728.991908947,0.9999146499541466,6.030511010402647e-05
2459728.992829394,1.0000510252271366,6.0305563896759344e-05
2459728.993749841,1.0001391948873037,6.030601769634862e-05
2459728.994670288,1.0000285124361772,6.030647150279439e-05
2459728.995590735,1.000154801405062,6.030692531609675e-05
2459728.9965111823,1.000018176419855,6.030737913625567e-05
2459728.9974316293,1.0000218901756184,6.030783296327168e-05
2459728.9983520764,1.0001109302788445,6.030828679714492e-05
2459728.9992725234,1.0000463523896972,6.030874063787507e-05
2459729.0001929705,0.9999843713934505,6.0309194485462424e-05
2459729.0011134176,0.9999237710037633,6.0309648339907695e-05
2459729.0020338646,0.9999369976865401,6.0310102201210673e-05
2459729.0029543117,0.999985034480218,6.031055606937134e-05
2459729.0038747587,0.9999909750533951,6.031100994439005e-05
2459729.004795206,0.9999898802020073,6.031146382626685e-05
