,BJD,flux,flux_err,Filt
71,2457577.500823055,1.0000676685737764,0.00012891034312417077,WFC3_G102
72,2457577.5028482396,1.0000081876916127,0.00012477953100393033,WFC3_G102
73,2457577.504873985,0.9999099812207525,0.0001200133776051699,WFC3_G102
74,2457577.5068993503,0.9998449215106686,0.0001244176959657791,WFC3_G102
75,2457577.50892491,1.000085020354767,0.00012286751878727846,WFC3_G102
76,2457577.5109500904,0.9998412839596686,0.00012172244625615465,WFC3_G102
77,2457577.5129758352,0.9999528667543098,0.00012793555202438123,WFC3_G102
78,2457577.515001205,0.9999918123083873,0.00012420445187123847,WFC3_G102
79,2457577.5170267597,0.9998894728696144,0.00012664809870137852,WFC3_G102
80,2457577.519051945,0.9995386940532021,0.0001252645901971387,WFC3_G102
81,2457577.521077685,1.0002690215052195,0.00012869100513912028,WFC3_G102
82,2457577.523103055,0.9996871179092078,0.00012099441681246181,WFC3_G102
83,2457577.5251286104,0.9996965715257362,0.0001240145265339274,WFC3_G102
84,2457629.96686801,0.9997718740921665,8.745317262032021e-05,WFC3_G141
85,2457629.969194305,1.0003820635392855,8.601700161059234e-05,WFC3_G141
86,2457629.97152079,1.0003198679020442,8.730814206918588e-05,WFC3_G141
87,2457629.97384727,0.9997899631519229,8.444688328683129e-05,WFC3_G141
88,2457629.976173565,0.9995671530181072,8.571460565447597e-05,WFC3_G141
89,2457629.978499865,0.9998440621421262,8.529944552459619e-05,WFC3_G141
90,2457629.9808263453,0.9999117521530456,8.432262627254025e-05,WFC3_G141
91,2457629.9831528254,0.9997233516152673,8.781700960809606e-05,WFC3_G141
92,2457629.98547912,0.9996431763629998,8.597281559793742e-05,WFC3_G141
93,2457629.98780542,1.0001295806531332,8.510713471209585e-05,WFC3_G141
94,2457629.9901318997,1.0001036137687005,8.581621218740493e-05,WFC3_G141
95,2457629.99245838,1.0002720975028625,8.638307272592373e-05,WFC3_G141
96,2457630.030039305,0.9992311440908204,8.56228628076817e-05,WFC3_G141
97,2457630.03236579,0.9997163652844359,8.488873325801732e-05,WFC3_G141
98,2457630.0346920853,1.0001029004783595,8.654029097544916e-05,WFC3_G141
99,2457630.03701838,0.9998967479483554,8.863716091723159e-05,WFC3_G141
100,2457630.039344865,1.0000134027471383,8.543135727617096e-05,WFC3_G141
101,2457630.041671345,1.000434720199927,8.455565537794746e-05,WFC3_G141
102,2457630.04399764,1.00030563117873,8.589193036752671e-05,WFC3_G141
103,2457630.0463239346,1.000298361475139,8.58612301376044e-05,WFC3_G141
104,2457630.0486504203,1.0001671922332922,8.453013492729585e-05,WFC3_G141
105,2457630.0509769,1.0002598961323048,8.45945632880436e-05,WFC3_G141
106,2457630.053303195,1.0001192647024209,8.523538858748393e-05,WFC3_G141
107,2457630.05562949,1.0000042843003374,8.456648725439195e-05,WFC3_G141
108,2457630.0579559747,1.000121626430637,8.588487322555731e-05,WFC3_G141
109,2457630.0954328254,0.9956444679976283,8.596444256766573e-05,WFC3_G141
110,2457630.09775912,0.9926918022358258,8.348737654147829e-05,WFC3_G141
111,2457630.100085605,0.9899815143006206,8.498186803777857e-05,WFC3_G141
112,2457630.102412085,0.9865943459240336,8.425557819998267e-05,WFC3_G141
113,2457630.10473838,0.9838949334753487,8.448554555544698e-05,WFC3_G141
114,2457630.1070646746,0.9813708449479465,8.505965496138016e-05,WFC3_G141
115,2457630.1093911603,0.9803116162391788,8.379540036270273e-05,WFC3_G141
116,2457630.11171764,0.9795505777314398,8.281631430249679e-05,WFC3_G141
117,2457630.114043935,0.9792817985176728,8.43328017945945e-05,WFC3_G141
118,2457630.1163702346,0.9788132207443359,8.376564656536251e-05,WFC3_G141
119,2457630.1186967148,0.9785098459185998,8.3394578907308e-05,WFC3_G141
120,2457630.121023195,0.9785355022902764,8.492655326677085e-05,WFC3_G141
121,2457630.12334949,0.9780798645431694,8.289517906747128e-05,WFC3_G141
122,2457630.161694305,0.9775930933683731,8.379602442154758e-05,WFC3_G141
123,2457630.16402079,0.9778217795279837,8.435997684735627e-05,WFC3_G141
124,2457630.16634727,0.977564507517091,8.296597357097175e-05,WFC3_G141
125,2457630.1686735647,0.9778224508568365,8.508215833748453e-05,WFC3_G141
