BJD,Flux,Filt
2456733.912322,0.97824718,I
2456733.913954,0.97834559,I
2456733.915748,0.97694377,I
2456733.917727,0.97804188,I
2456733.919706,0.97663989,I
2456733.921674,0.97863804,I
2456733.923653,0.9783361,I
2456733.925795,0.97753397,I
2456733.928121,0.97633166,I
2456733.930447,0.97642939,I
2456733.932774,0.97742715,I
2456733.934915,0.97602502,I
2456733.936894,0.9766231,I
2456733.938862,0.97792121,I
2456733.940841,0.97721926,I
2456733.942809,0.97681733,I
2456733.944777,0.97751542,I
2456733.946756,0.97731348,I
2456733.94855,0.97701172,I
2456733.950182,0.97701013,I
2456733.951802,0.97710855,I
2456733.953434,0.97710695,I
2456733.955055,0.98040539,I
2456733.956675,0.97580378,I
2456733.958307,0.97700219,I
2456733.959928,0.97660061,I
2456733.961548,0.97909902,I
2456733.96318,0.97779743,I
2456733.964801,0.97829584,I
2456733.966433,0.97829424,I
2456733.968053,0.97849266,I
2456733.969685,0.97849106,I
2456733.971306,0.97978946,I
2456733.972938,0.98028786,I
2456733.974558,0.98098626,I
2456733.976178,0.98198465,I
2456733.97781,0.984983,I
2456733.979431,0.98158147,I
2456733.981063,0.98377982,I
2456733.982683,0.98737815,I
2456733.984304,0.98807653,I
2456733.985936,0.99037486,I
2456733.987556,0.99357317,I
2456733.989177,0.99457153,I
2456733.990809,0.99756981,I
2456733.992441,0.99636822,I
2456733.994061,0.99896652,I
2456733.995693,0.9986649,I
2456733.997313,1.0010632,I
2456733.998934,0.99876166,I
2456734.000566,0.99856004,I
2456734.002186,0.99945839,I
2456734.003818,0.99935676,I
2456734.005439,1.00135505,I
2456734.007071,0.99865354,I
2456734.008691,0.99935189,I
2456734.010323,0.99945025,I
2456734.011955,0.99934863,I
2456734.013576,1.00114691,I
2456734.015196,1.00064532,I
2456734.016828,1.00054369,I
2456734.01846,1.00164199,I
2456734.02008,1.00044044,I
2456734.021713,1.0006388,I
2456734.023333,1.00003721,I
2456734.024965,1.00023557,I
2456734.026585,1.0010339,I
2456734.028217,1.00103226,I
2456734.029838,1.00003071,I
2456734.03147,0.99952911,I
2456734.03309,1.00012745,I
2456734.034722,1.00072577,I
2456734.036343,0.99952424,I
2456734.037963,0.99902266,I
2456737.83537,0.99986575,R
2456737.837002,0.99836489,R
2456737.838622,1.00076428,R
2456737.840242,1.00106354,R
2456737.841863,0.9998627,R
2456737.843483,1.00046198,R
2456737.845115,0.99906113,R
2456737.846736,1.00076048,R
2456737.848356,0.99905961,R
2456737.849976,1.00105897,R
2456737.851597,0.99985814,R
2456737.853229,1.0002574,R
2456737.854849,1.00035665,R
2456737.85647,1.002456,R
2456737.85809,0.99835502,R
2456737.859722,0.99965432,R
2456737.861342,0.99905353,R
2456737.862963,0.99895277,R
2456737.864595,0.99955203,R
2456737.866215,0.99905125,R
2456737.867836,1.00185063,R
2456737.869468,1.00104983,R
2456737.871088,1.00234913,R
2456737.872709,0.99844818,R
2456737.874329,0.99944747,R
2456737.875961,0.99904669,R
2456737.877581,0.99994597,R
2456737.879202,0.99804512,R
2456737.880822,1.00124451,R
2456737.882454,1.00054371,R
2456737.884075,1.00074296,R
2456737.885695,1.00234227,R
2456737.887327,1.00114145,R
2456737.888959,1.00004064,R
2456737.890579,1.00173995,R
2456737.8922,1.00053914,R
2456737.893832,0.99903832,R
2456737.895452,0.99883755,R
2456737.897073,1.00023684,R
2456737.898693,1.00053609,R
2456737.900325,1.00073534,R
2456737.901945,0.9986345,R
2456737.903566,0.99853374,R
2456737.905198,1.00103306,R
2456737.906818,1.00053228,R
2456737.908439,1.00033152,R
2456737.910071,0.99983074,R
2456737.911691,1.00042999,R
2456737.913311,1.00112926,R
2456737.914943,0.99962845,R
2456737.916564,0.99882767,R
2456737.918196,0.99972693,R
2456737.919816,1.00032618,R
2456737.921437,1.00052543,R
2456737.923069,1.00032466,R
2456737.924689,0.99802384,R
2456737.926309,0.9988231,R
2456737.927941,0.99982236,R
2456737.929562,1.00092162,R
2456737.931194,0.99942083,R
2456737.932814,0.99922006,R
2456737.934435,0.99781928,R
2456737.936067,0.99661849,R
2456737.937687,0.99691774,R
2456737.939319,0.99391693,R
2456737.94094,0.99171614,R
2456737.94256,0.98911534,R
2456737.944192,0.98851458,R
2456737.945812,0.9864138,R
2456737.947433,0.98371301,R
2456737.949065,0.98281225,R
2456737.950685,0.98161149,R
2456737.952306,0.98131074,R
2456737.953938,0.98070998,R
2456737.955558,0.97830922,R
2456737.957178,0.97850847,R
2456737.95881,0.97710771,R
2456737.960431,0.97930699,R
2456737.962051,0.97750623,R
2456737.963683,0.97710548,R
2456737.965304,0.97660474,R
2456737.966936,0.978304,R
2456737.968556,0.97620325,R
2456737.970188,0.9752025,R
2456737.971808,0.97570176,R
2456737.97344,0.97680101,R
2456737.975061,0.97700027,R
2456737.976681,0.97689953,R
2456737.978313,0.97659878,R
2456737.979934,0.97539804,R
2456737.981566,0.9756973,R
2456737.983186,0.97399656,R
2456737.984818,0.97629581,R
2456737.986438,0.97639506,R
2456737.98807,0.97619432,R
2456737.989691,0.97529358,R
2456737.991311,0.97519284,R
2456737.994564,0.97489136,R
2456737.996196,0.97539061,R
2456737.997816,0.97418988,R
2456737.999436,0.97588912,R
2456738.001068,0.97888834,R
2456738.002689,0.9781876,R
2456738.004321,0.97878685,R
2456738.005941,0.9791861,R
2456738.007573,0.97888535,R
2456738.010108,0.97658423,R
2456738.011728,0.97788346,R
2456738.01336,0.97668274,R
2456738.014981,0.97988194,R
2456738.016613,0.97848121,R
2456738.018233,0.97988044,R
2456738.019865,0.97647976,R
2456738.021486,0.97857898,R
2456738.023118,0.97727826,R
2456738.024738,0.97827749,R
2456738.02637,0.97987671,R
2456738.02799,0.98057594,R
2456738.029622,0.98067519,R
2456738.031243,0.98017446,R
2456738.032875,0.98267364,R
2456738.034495,0.98307289,R
2456738.036127,0.98487208,R
2456738.037748,0.98547132,R
2456738.03938,0.98057071,R
2456738.041,0.99386956,R
2456738.042632,0.99456877,R
2456738.044252,0.99016816,R
2456738.045884,0.99816714,R
2456738.047505,0.99696642,R
2456738.049137,0.99546571,R
2456738.050757,0.99896483,R
2456738.052389,1.00156397,R
2456738.05401,0.99946329,R
2456738.055642,0.99556267,R
2456738.057262,0.99806182,R
